index,original_text,translation,has_translation,original_length,translation_length,length_ratio,original_word_count,translation_word_count,word_count_ratio,original_char_count,translation_char_count,char_count_ratio,original_sentence_count,translation_sentence_count,fuzzy_similarity,detected_language
20,What is the total number of trains built for each class listed in the table?,Tablonda listelenen her sınıf için yapılmış toplam tren sayısı nedir?,True,76,69,0.9078947368421053,15.0,10.0,0.6666666666666666,76.0,69.0,0.9078947368421053,1.0,1.0,0.35,tr
21,"For each driver's position and series, what is the total points and the highest winnings, sorted by total points and then by largest winnings in descending order?","Her sürücü pozisyonu ve serisi için, toplam puanlar ve en yüksek kazançlar, toplam puanlara ve daha sonra en büyük kazançlara göre aşağıdaki sırada sıralanarak ne kadar?",True,162,169,1.0432098765432098,28.0,26.0,0.9285714285714286,162.0,169.0,1.0432098765432098,1.0,1.0,0.33,tr
22,Which director has directed the most episodes and what is the total count of episodes they directed?,En çok bölüm yöneten yönetmen hangisi ve yönettiği bölümlerin toplam sayısı ne kadar?,True,100,85,0.85,17.0,13.0,0.7647058823529411,100.0,85.0,0.85,1.0,1.0,0.26,tr
23,"Which films were nominated only once and won an award, including their original titles?",Hangi filmler sadece bir kez aday gösterildi ve orijinal başlıkları dahil olmak üzere bir ödül kazandı?,True,87,103,1.1839080459770115,14.0,16.0,1.1428571428571428,87.0,103.0,1.1839080459770115,1.0,1.0,0.4,tr
24,"Could you list the operational periods, primary methods of mass killings, and the total number of estimated deaths for camps that had more than 100,000 estimated deaths?","Toplu öldürülme yöntemlerinin, operasyon dönemlerinin ve toplam ölüme tahmin edilen sayısı 100 binin üzerinde ölüm tahmin edilen kamplarda neler olduğunu listeleyebilir misiniz?",True,169,177,1.047337278106509,27.0,22.0,0.8148148148148148,169.0,177.0,1.047337278106509,1.0,1.0,0.19,tr
25,Find the round and overall pick number for the quarterback selected in the highest overall position across all rounds.,Tüm turlarda en yüksek genel pozisyonda seçilen quarterback için tur ve genel seçim sayısını bul.,True,118,97,0.8220338983050848,19.0,15.0,0.7894736842105263,118.0,97.0,0.8220338983050848,1.0,1.0,0.39,tr
26,"What positions, colleges, and number of players were chosen between the 200th and 300th overall picks?","200 ve 300'ünci genel seçiler arasında hangi pozisyonlar, kolejler ve oyuncu sayısı seçildi?",True,102,92,0.9019607843137255,16.0,13.0,0.8125,102.0,92.0,0.9019607843137255,1.0,1.0,0.23,tr
27,"List the dates, opponents, and results of the games where the Minnesota Vikings had a record of 6-2 or 7-2, including both the Vikings' score and the opponents' score.","Vikingler'in ve rakiplerin puanı dahil olmak üzere Minnesota Vikingler'in 6-2 veya 7-2 rekoruna sahip olduğu oyunların tarihlerini, rakiplerini ve sonuçlarını listelen.",True,167,168,1.0059880239520957,31.0,23.0,0.7419354838709677,167.0,168.0,1.0059880239520957,1.0,1.0,0.33,tr
28,"What is the product type for each group of headstamp ID, primer annulus color being purple, other features being step in bullet jacket, or functional type not matching these criteria, and how many times does each appear?","Her bir baş damgası kimliği grubu için ürün türü nedir, primer annulus rengi mor, diğer özellikler mermi ceketinde adım veya bu kriterlere uymayan işlevsel tür nedir ve her biri kaç kez görünür?",True,220,194,0.8818181818181818,37.0,32.0,0.8648648648648649,220.0,194.0,0.8818181818181818,1.0,1.0,0.37,tr
29,What was Joey Harrington's performance in the year he played the most games and had fewer interceptions than the average?,Joey Harrington'un en çok oyun oynadığı ve ortalama oranından daha az kapışması olduğu yılın performansı neydi?,True,121,111,0.9173553719008265,21.0,16.0,0.7619047619047619,121.0,111.0,0.9173553719008265,1.0,1.0,0.29,tr
30,"What is the lead role for each character if there is a performance listed for Australia and New Zealand, otherwise what is the lead role from the UK tour?","Avustralya ve Yeni Zelanda için bir performans listelenirse her karakterin başrolü nedir, aksi takdirde İngiltere turnesinden başrolü nedir?",True,154,140,0.9090909090909091,29.0,18.0,0.6206896551724138,154.0,140.0,0.9090909090909091,1.0,1.0,0.39,tr
31,Which episodes have the highest season numbers along with their respective original air dates?,"Hangi bölümlerin, orijinal yayın tarihleri ile birlikte en yüksek sezon numaraları var?",True,94,87,0.925531914893617,14.0,12.0,0.8571428571428571,94.0,87.0,0.925531914893617,1.0,1.0,0.31,tr
32,What are the average U.S. viewership and the highest U.S. viewership for episodes set in 1540?,1540'da yer alan bölümler için ortalama ABD izleyicileri ve en yüksek ABD izleyicileri ne kadar?,True,94,96,1.0212765957446808,16.0,15.0,0.9375,94.0,96.0,1.0212765957446808,1.0,1.0,0.13,tr
33,"For each date, what is the total number of tracks and which genres do they fall under: R&B, Hip-hop, Electronic, Rock, and Pop?","Her tarih için toplam parça sayısı ne kadar ve hangi türlere düşer: R & B, Hip-hop, Elektronik, Rock ve Pop?",True,127,108,0.8503937007874016,24.0,20.0,0.8333333333333334,127.0,108.0,0.8503937007874016,1.0,1.0,0.53,tr
34,"What were the years, divisions, leagues, regular season standings, playoffs achievements, and open cup results for each year in descending order?","Her yıl için yıllar, bölümler, ligler, düzenli sezon sıralamaları, playoff başarılar ve açık kupa sonuçları aşağıdaki sırada neydi?",True,145,131,0.903448275862069,21.0,18.0,0.8571428571428571,145.0,131.0,0.903448275862069,1.0,1.0,0.3,tr
35,What are the villains associated with each story and how many times does each villain appear?,Her hikayeye hangi kötü adamlar dahil oluyor ve her kötü insan kaç kez ortaya çıkıyor?,True,93,86,0.9247311827956989,16.0,15.0,0.9375,93.0,86.0,0.9247311827956989,1.0,1.0,0.27,tr
36,"For episodes airing in October, what are the titles along with their count of airings?","Ekim ayında yayınlanan bölümler için, yayın sayısının yanı sıra başlıklar ne?",True,86,77,0.8953488372093024,15.0,11.0,0.7333333333333333,86.0,77.0,0.8953488372093024,1.0,1.0,0.23,tr
37,Identify the episodes where the writer and storyteller are the same person.,Yazarın ve hikaye anlatıcısının aynı kişi olduğu olayları belirleyin.,True,75,69,0.92,12.0,9.0,0.75,75.0,69.0,0.92,1.0,1.0,0.28,tr
38,"What are the titles of episodes that had their US air dates starting with February, and how many times did each episode air?",ABD'de Şubat'tan itibaren yayınlanan bölümlerin başlıkları neydi ve her bölüm kaç kez yayınlandı?,True,124,97,0.782258064516129,23.0,13.0,0.5652173913043478,124.0,97.0,0.782258064516129,1.0,1.0,0.13,tr
39,"What are the titles, writers, and villains of episodes where the same writer has directed more than once?","Aynı yazarın birden fazla kez yönettiği bölümlerin başlıkları, yazarları ve kötü adamları nelerdir?",True,105,99,0.9428571428571428,18.0,13.0,0.7222222222222222,105.0,99.0,0.9428571428571428,1.0,1.0,0.26,tr
40,What are the species of iris and their average petal length along with how much each species' average petal length differs from the overall average petal length?,İris türleri ve ortalama petal uzunluğu ne kadar farklı ve her türün ortalama petal uzunluğu genel ortalama petal uzunluğundan ne kadar farklıdır?,True,161,146,0.906832298136646,27.0,22.0,0.8148148148148148,161.0,146.0,0.906832298136646,1.0,1.0,0.32,tr
41,Could you give me the names of the member organizations and the count of how many countries they have represented in the World Organization of the Scout Movement?,Üye kuruluşların isimlerini ve Dünya İzcilik Teşkilatı'nda kaç ülkeyi temsil ettiklerini bana söyleyebilir misiniz?,True,162,115,0.7098765432098766,28.0,14.0,0.5,162.0,115.0,0.7098765432098766,1.0,1.0,0.23,tr
42,What is the count of seasons hosted by each network for competitions titled with 'Season' in their names?,Her ağ tarafından kendi isimlerinde 'Mevsim' adı verilen yarışmalar için düzenlenen sezon sayısının sayısı nedir?,True,105,113,1.0761904761904761,18.0,15.0,0.8333333333333334,105.0,113.0,1.0761904761904761,1.0,1.0,0.29,tr
43,"Please calculate the total league appearances, cup appearances, league goals, and cup goals grouped by each season?","Lütfen her sezon boyunca toplam lig oyunları, kupa oyunları, lig golları ve kupa gollerini hesaplayın.",True,115,102,0.8869565217391304,17.0,15.0,0.8823529411764706,115.0,102.0,0.8869565217391304,1.0,1.0,0.13,tr
44,"What were the scores, margins, venues, and attendances for seasons where either the margin was greater than ten or the attendance exceeded one hundred thousand?","Toplama oranları, katılımcıların sayısı ontan fazla ya da yüz binin üzerinde olduğu mevsimlerde hangi puanlar, mekanlar ve katılımcıların sayısı neydi?",True,160,151,0.94375,25.0,20.0,0.8,160.0,151.0,0.94375,1.0,1.0,0.17,tr
45,"What are the counties that have more than one milepost mentioned, along with the total number of mileposts and the roads intersected for each county?","Hangi illerde bir milpostundan fazla, her ilçede toplam milpost sayısı ve kesinti yolları ile birlikte adı geçen ilçeler vardır?",True,149,128,0.8590604026845637,25.0,19.0,0.76,149.0,128.0,0.8590604026845637,1.0,1.0,0.27,tr
46,What are the average values for each year's data grouped by commodity?,Her yılın mallar gruplandırılmış verilerinin ortalama değerleri nelerdir?,True,70,73,1.042857142857143,13.0,8.0,0.6153846153846154,70.0,73.0,1.042857142857143,1.0,1.0,0.32,tr
47,"List the institutions that left or joined the conference between 19XX and 20XX, along with their founding years and locations.","19XX ve 20XX arasında konferanstan ayrılmış veya katılan kurumları, kuruluş yılları ve yerleri ile birlikte listelenir.",True,126,119,0.9444444444444444,20.0,16.0,0.8,126.0,119.0,0.9444444444444444,1.0,1.0,0.29,tr
48,Which teams had outgoing managers replaced on mutual consent and when did they leave and who took over?,"Hangi takımlar, ortak bir anlaşma üzerine görevden çıkmış yöneticileri değiştirmiş ve ne zaman ayrılmış ve kim devralmış?",True,103,121,1.174757281553398,18.0,17.0,0.9444444444444444,103.0,121.0,1.174757281553398,1.0,1.0,0.21,tr
49,"List the dates, opponents, home/away status, scores, top scorers, top rebounders, and top assist leaders for games in January, February, and March?","Ocak, Şubat ve Mart aylarında oyunlar için tarihleri, rakipleri, ev/kaç durumunu, puanları, en iyi puanlayıcıları, en iyi geri çekicileri ve en iyi yardım liderlerini listeler.",True,147,176,1.1972789115646258,23.0,26.0,1.1304347826086956,147.0,176.0,1.1972789115646258,1.0,1.0,0.05,tr
50,"Calculate the total points for each member association that qualifies by having at least one group stage result, zero play-offs, and zero AFC cup victories.","Grup aşamasında en az bir sonuç, sıfır play-off ve sıfır AFC kuboku kazanarak kalifiye olan her üye birliğinin toplam puanlarını hesaplayın.",True,156,140,0.8974358974358975,26.0,22.0,0.8461538461538461,156.0,140.0,0.8974358974358975,1.0,1.0,0.36,tr
51,Which episodes have the maximum season number along with their corresponding series number and original air date?,Hangi bölümlerin maksimum sezon numarası ve ilgili seri numarası ve orijinal yayın tarihi vardır?,True,113,97,0.8584070796460177,17.0,14.0,0.8235294117647058,113.0,97.0,0.8584070796460177,1.0,1.0,0.48,tr
52,What is the average number of seats won by each candidate across all elections?,Tüm seçimlerde her adayın kazandığı ortalama yer sayısı nedir?,True,79,62,0.7848101265822784,14.0,9.0,0.6428571428571429,79.0,62.0,0.7848101265822784,1.0,1.0,0.32,tr
53,"How many players were drafted by each NFL team in the 1988 Cleveland Browns draft, and what was the team with the highest number of drafts?",1988'de Cleveland Browns'ın taslakında her NFL takımı tarafından kaç oyuncu taslaklandı ve en fazla taslak sayısına sahip takım hangisiydi?,True,139,139,1.0,26.0,19.0,0.7307692307692307,139.0,139.0,1.0,1.0,1.0,0.27,tr
54,"Which province yields the highest product when the 2004 population estimate is multiplied by its density, and what is this product?",2004 nüfus tahmininin yoğunluğu ile çarpıldığında hangi eyalet en yüksek ürün verir ve bu ürün nedir?,True,131,101,0.7709923664122137,21.0,16.0,0.7619047619047619,131.0,101.0,0.7709923664122137,1.0,1.0,0.19,tr
55,"Calculate the change in U.S. viewers for each episode compared to its immediate successor, excluding the last episode.","Son bölüm hariç, her bölüm için ABD izleyicilerindeki değişimi, hemen ardından gelen bölümle karşılaştırıldığında hesaplayın.",True,118,125,1.0593220338983051,18.0,15.0,0.8333333333333334,118.0,125.0,1.0593220338983051,1.0,1.0,0.27,tr
56,"Can you provide the count of races and the sum of wins for each unique combination of season, series, and team name?","Sezon, dizi ve takım adı ile ilgili eşsiz bir kombinasyon için yarış sayısını ve kazanımların toplamını belirleyebilir misiniz?",True,116,127,1.0948275862068966,22.0,18.0,0.8181818181818182,116.0,127.0,1.0948275862068966,1.0,1.0,0.3,tr
57,"For each religious group, find the highest population percentage, the lowest growth rate over the period 1991-2001, the overall average sex ratio, the highest literacy rate, if their work participation rate is 40.4%, the average sex ratio in rural areas, the average sex ratio in urban areas, and the average sex ratio among children?","Her dini grup için en yüksek nüfus yüzdesini, 1991-2001 dönemindeki en düşük büyüme oranını, genel ortalama cinsiyet oranını, en yüksek okuma yazma oranını, eğer iş katılım oranları %40,4 ise, kırsal alanlarda ortalama cinsiyet oranını, şehirlerde ortalama cinsiyet oranını ve çocukların ortalama cinsiyet oranını bul.",True,334,318,0.9520958083832335,55.0,45.0,0.8181818181818182,334.0,318.0,0.9520958083832335,1.0,1.0,0.08,tr
58,What is the average U.S. viewership and the highest U.S. viewership for each season episode number from 1 to 10?,Her sezon için ortalama ABD izleyicileri ve en yüksek ABD izleyicileri 1 ila 10 arasında ne kadar?,True,112,98,0.875,20.0,17.0,0.85,112.0,98.0,0.875,1.0,1.0,0.21,tr
59,Calculate the change in U.S. viewership for each season episode after the first one relative to the episode before it.,"İlk bölümden sonra her sezon için ABD izleyicilerinin değişimini, önceki bölüm ile karşılaştırıldığında hesaplayın.",True,118,115,0.9745762711864406,20.0,14.0,0.7,118.0,115.0,0.9745762711864406,1.0,1.0,0.18,tr
60,What are the average and maximum U.S. viewership ratings for each series?,Her dizinin ortalama ve maksimum ABD izleyicileri oranları ne?,True,73,62,0.8493150684931506,12.0,9.0,0.75,73.0,62.0,0.8493150684931506,1.0,1.0,0.37,tr
61,"What are the title, original air date, and U.S. viewers (in millions) for the highest-rated and lowest-rated episodes?","En yüksek ve en düşük derecelendirilen bölümlerin başlığı, orijinal yayın tarihi ve ABD izleyicileri (milyonlarca) nedir?",True,118,121,1.0254237288135593,20.0,16.0,0.8,118.0,121.0,1.0254237288135593,1.0,1.0,0.34,tr
62,"For each unique combination of season, series, and team name, what was the maximum number of wins and the minimum number of points?","Her sezon, dizi ve takım adı için en fazla kazanma ve en az puan sayısı neydi?",True,131,78,0.5954198473282443,23.0,16.0,0.6956521739130435,131.0,78.0,0.5954198473282443,1.0,1.0,0.29,tr
63,How many unique challenges did each winning candidate pass successfully?,Kaç tane benzersiz zorlukla başarılı bir şekilde başarılı oldu?,True,72,63,0.875,10.0,9.0,0.9,72.0,63.0,0.875,1.0,1.0,0.32,tr
64,Find the average result for every film that received a nomination.,Nümnatif alan her film için ortalama sonuçları bul.,True,66,51,0.7727272727272727,11.0,8.0,0.7272727272727273,66.0,51.0,0.7727272727272727,1.0,1.0,0.36,tr
65,Which CFL team had the most players selected in the third round of the draft?,Draft'ın üçüncü turunda en çok oyuncu seçilen CFL takımı hangisiydi?,True,77,68,0.8831168831168831,15.0,10.0,0.6666666666666666,77.0,68.0,0.8831168831168831,1.0,1.0,0.22,tr
66,"What are the pick numbers, CFL teams, players, positions, and colleges for the top eight picks in the 2006 CFL draft's fourth round?","2006 CFL taslakının dördüncü turunda ilk sekiz seçeneğin seçme sayıları, CFL takımları, oyuncuları, pozisyonları ve kolejleri nelerdir?",True,132,135,1.0227272727272727,24.0,17.0,0.7083333333333334,132.0,135.0,1.0227272727272727,1.0,1.0,0.28,tr
67,"Which teams selected players in the first, second, and third highest draft picks of round five?",Beşinci turda en yüksek seçimde hangi takımlar oyuncuyu seçti?,True,95,62,0.6526315789473685,16.0,9.0,0.5625,95.0,62.0,0.6526315789473685,1.0,1.0,0.32,tr
68,"What is the count of railbuses for each unique combination of builder and region, and what is the sum of the number of railbuses built?",İnşaatçı ve bölge arasındaki her benzersiz kombinasyon için tren otobüslerinin sayısı ne kadar ve inşa edilen tren otobüslerinin sayısı toplamı ne kadar?,True,135,153,1.1333333333333333,25.0,22.0,0.88,135.0,153.0,1.1333333333333333,1.0,1.0,0.24,tr
69,"Could you provide me with the top five sport leagues ranked by total attendance, including their league name, sport type, country, season, and total number of attendees?","Top beş spor liginin toplam katılımcı sayısı, ligin adı, spor türü, ülke, sezon ve toplam katılımcı sayısı dahil olmak üzere sıralanmasını sağlayabilir misiniz?",True,169,160,0.9467455621301775,27.0,23.0,0.8518518518518519,169.0,160.0,0.9467455621301775,1.0,1.0,0.31,tr
70,Determine the model with the greatest frequency and provide its count.,En yüksek frekanslı model belirleyin ve sayısını belirtin.,True,70,58,0.8285714285714286,11.0,8.0,0.7272727272727273,70.0,58.0,0.8285714285714286,1.0,1.0,0.33,tr
71,Please list the titles of the episodes and their associated average and maximum U.S. viewership figures.,Lütfen bölümlerin başlıklarını ve ilgili ortalama ve maksimum ABD izleyicileri rakamlarını listede bulun.,True,104,105,1.0096153846153846,16.0,13.0,0.8125,104.0,105.0,1.0096153846153846,1.0,1.0,0.19,tr
72,What are the orbital periods and radial velocities of the planets that can be detected by second-generation spectrographs?,İkinci nesil spektrograflar tarafından tespit edilebilecek gezegenlerin yörüngel dönemleri ve radyal hızları nelerdir?,True,122,118,0.9672131147540983,19.0,13.0,0.6842105263157895,122.0,118.0,0.9672131147540983,1.0,1.0,0.22,tr
73,"What premiere date, peak rating, average rating, and Hong Kong viewership did the drama series with the highest viewership have?","En çok izlenen drama dizisinin ilk gösterisi ne zaman, en yüksek puanı, ortalama puanı ve Hong Kong izleyicileri neydi?",True,128,119,0.9296875,20.0,19.0,0.95,128.0,119.0,0.9296875,1.0,1.0,0.3,tr
74,"Which director led the way in directing the most episodes during season 2 of Melrose Place, and what was the total number of episodes they directed?",Melrose Place'in 2. sezonunda en çok bölüm yöneten yönetmen hangisiydi ve yönettiği bölümlerin toplam sayısı neydi?,True,148,115,0.777027027027027,26.0,16.0,0.6153846153846154,148.0,115.0,0.777027027027027,1.0,2.0,0.35,tr
75,What is the count of each production code used in the entire series of episodes?,Tüm bölümlerdeki her üretim kodunun sayısı nedir?,True,80,49,0.6125,15.0,7.0,0.4666666666666667,80.0,49.0,0.6125,1.0,1.0,0.31,tr
76,"Which episode has the highest count in season 4, from episodes 1 to 28, when sorted in descending order of frequency?","4. sezonun en yüksek sayısı hangi bölümde, 1 ila 28 bölümden, frekansları düşen sırada sıralanınca?",True,117,99,0.8461538461538461,21.0,15.0,0.7142857142857143,117.0,99.0,0.8461538461538461,1.0,1.0,0.28,tr
77,Which player had the most appearances when grouped by their college and ordered by the count of appearances in descending order?,"Hangi oyuncu, üniversitelerinin gruplandırılması ve aşağıdaki sırada gösterilerin sayısına göre sıralama yapıldığı zaman en çok göründü?",True,128,136,1.0625,21.0,16.0,0.7619047619047619,128.0,136.0,1.0625,1.0,1.0,0.29,tr
78,What is the total number of players from each college who were picked between pick number 45 and 52?,Her kolejden 45 ve 52 numara arasında seçilen oyuncuların toplam sayısı nedir?,True,100,78,0.78,19.0,12.0,0.631578947368421,100.0,78.0,0.78,1.0,1.0,0.27,tr
79,"For each round, find the total number of choices, the average weight of quarterbacks, and the maximum height of wide receivers across rounds.","Her tur için toplam seçim sayısını, quarterbacklerin ortalama ağırlığını ve turlar boyunca geniş alıcıların maksimum yüksekliğini bul.",True,141,134,0.950354609929078,23.0,17.0,0.7391304347826086,141.0,134.0,0.950354609929078,1.0,1.0,0.32,tr
80,"Which college did the most players selected between the 27th and 34th positions attend, and how many players were there?",27. ve 34. pozisyonlar arasında en çok seçilen oyuncu hangi üniversiteye katıldı ve kaç oyuncu vardı?,True,120,101,0.8416666666666667,20.0,16.0,0.8,120.0,101.0,0.8416666666666667,1.0,2.0,0.3,tr
81,"What are the titles, release dates, and Oricon ranks for the top three singles by Yuki Uchida?","Yuki Uchida'nın ilk üç teklifin başlıkları, yayın tarihleri ve Oricon sıralamaları nelerdir?",True,94,92,0.9787234042553191,17.0,12.0,0.7058823529411765,94.0,92.0,0.9787234042553191,1.0,1.0,0.23,tr
82,List the location and the maximum opening hour for each day from Monday to Sunday.,Pazartesi ile Pazar arasında her gün yapılacak işlerin yeri ve en fazla saatini listelen.,True,82,89,1.0853658536585367,15.0,14.0,0.9333333333333333,82.0,89.0,1.0853658536585367,1.0,1.0,0.18,tr
83,"For each district listed, could you provide the area in square kilometers, the number of settlements, and the half of the population from the 2010 census?","Her bölge için, 2010 nüfus sayımından alanı kare kilometre, yerleşimlerin sayısı ve nüfusun yarısını belirleyebilir misiniz?",True,154,124,0.8051948051948052,26.0,16.0,0.6153846153846154,154.0,124.0,0.8051948051948052,1.0,1.0,0.28,tr
84,Determine the director with the maximum number of episodes directed and give the episode count.,Yönetmenin en fazla bölümden birini belirle ve bölüm sayısını ver.,True,95,66,0.6947368421052632,15.0,10.0,0.6666666666666666,95.0,66.0,0.6947368421052632,1.0,1.0,0.28,tr
85,"Please give me the pilot car numbers, colors, and the total number of productions grouped by each unique combination of pilot car number and color.","Lütfen bana pilot aracının numaralarını, renklerini ve her pilot aracının numara ve renk kombinasyonuna göre gruplandırılmış toplam üretim sayısını verin.",True,147,154,1.0476190476190477,25.0,20.0,0.8,147.0,154.0,1.0476190476190477,1.0,1.0,0.32,tr
