original_text,translation,entities_found,entities,filtered,length_ratio,detected_language,semantic_similarity,back_translation_similarity,combined_similarity,quality_stage,filter_reason
"What are the titles, writers, and villains of episodes where the same writer has directed more than once?","¿Cuáles son los títulos, escritores y villanos de episodios donde el mismo escritor ha dirigido más de una vez?",0,,False,1.0571428571428572,es,0.9721065163612366,0.9990696907043457,0.988284420967102,semantic_back_pass,
What are the species of iris and their average petal length along with how much each species' average petal length differs from the overall average petal length?,"¿Cuáles son las especies de iris y su longitud promedio de pétalos, y en qué medida difiere la longitud promedio de pétalos de cada especie de la longitud promedio de pétalos en general?",1,iris,False,1.15527950310559,es,0.8041614890098572,0.9769548773765564,0.9078375220298767,semantic_back_pass,
Could you give me the names of the member organizations and the count of how many countries they have represented in the World Organization of the Scout Movement?,¿Podría darme los nombres de las organizaciones miembros y el número de países que han representado en la Organización Mundial del Movimiento Scout?,2,"the World Organization of the Scout Movement, World Organization of the Scout Movement",False,0.9135802469135802,es,0.9707773327827454,0.9923078417778015,0.983695638179779,semantic_back_pass,
What is the count of seasons hosted by each network for competitions titled with 'Season' in their names?,"¿Cuál es el número de temporadas organizadas por cada red para competencias tituladas ""Estaciones del año"" en sus nombres?",1,Season,False,1.161904761904762,es,0.9372396469116211,0.9543903470039368,0.9475300669670105,semantic_back_pass,
"Please calculate the total league appearances, cup appearances, league goals, and cup goals grouped by each season?","Calcule el total de partidos en la liga, partidos en la copa, goles en la liga y goles en la copa agrupados por cada temporada.",0,,False,1.1043478260869566,es,0.8366928696632385,0.8815726637840271,0.8636207461357117,semantic_back_pass,
"What were the scores, margins, venues, and attendances for seasons where either the margin was greater than ten or the attendance exceeded one hundred thousand?","¿Cuáles eran los puntajes, los márgenes, los lugares y las asistencia en las temporadas en que el márgenes era mayor a diez o la asistencia excedió los cien mil?",0,,False,1.00625,es,0.8788338899612427,0.9830268621444702,0.9413496732711792,semantic_back_pass,
"What are the counties that have more than one milepost mentioned, along with the total number of mileposts and the roads intersected for each county?","¿Cuáles son los condados que tienen más de un punto de referencia mencionado, junto con el número total de puntos de referencia y las carreteras que se cruzan para cada condado?",0,,False,1.1879194630872483,es,0.8217998147010803,0.7956691980361938,0.8061214447021484,semantic_back_pass,
What are the average values for each year's data grouped by commodity?,¿Cuáles son los valores promedio de los datos anuales agrupados por mercancía?,0,,False,1.1142857142857143,es,0.918224573135376,0.9843565225601196,0.9579037427902222,semantic_back_pass,
"List the institutions that left or joined the conference between 19XX and 20XX, along with their founding years and locations.","Enumera las instituciones que dejaron o se unieron a la conferencia entre 19XX y 20XX, junto con sus años de fundación y ubicaciones.",1,20XX,False,1.0555555555555556,es,0.9620791077613831,0.9853406548500061,0.9760360360145568,semantic_back_pass,
Which teams had outgoing managers replaced on mutual consent and when did they leave and who took over?,¿Qué equipos habían reemplazado a los gerentes salientes por consentimiento mutuo y cuándo se fueron y quién se hizo cargo?,0,,False,1.1941747572815533,es,0.9612696766853333,0.9898993372917175,0.9784474730491639,semantic_back_pass,
"List the dates, opponents, home/away status, scores, top scorers, top rebounders, and top assist leaders for games in January, February, and March?","¿Enumera las fechas, los oponentes, el estado de casa/huegue, las puntuaciones, los mejores marcadores, los mejores rebotes y los mejores asistentes para los juegos de enero, febrero y marzo?",0,,False,1.2993197278911566,es,0.8636345267295837,0.8983426094055176,0.884459376335144,semantic_back_pass,
"Calculate the total points for each member association that qualifies by having at least one group stage result, zero play-offs, and zero AFC cup victories.","Calcule los puntos totales para cada asociación miembro que se califique teniendo al menos un resultado de la fase de grupos, cero play-offs y cero victorias en la Copa AFC.",1,AFC,False,1.108974358974359,es,0.9690703749656677,0.9715772271156311,0.9705744862556458,semantic_back_pass,
Which episodes have the maximum season number along with their corresponding series number and original air date?,¿Qué episodios tienen el número máximo de temporada junto con su número de serie correspondiente y la fecha de emisión original?,0,,False,1.1327433628318584,es,0.9495704174041748,0.9735912680625916,0.9639829277992249,semantic_back_pass,
What is the average number of seats won by each candidate across all elections?,¿Cuál es el número promedio de escaños ganados por cada candidato en todas las elecciones?,0,,False,1.139240506329114,es,0.9563058018684387,0.9974561333656311,0.9809960007667542,semantic_back_pass,
"How many players were drafted by each NFL team in the 1988 Cleveland Browns draft, and what was the team with the highest number of drafts?","¿Cuántos jugadores fueron reclutados por cada equipo de la NFL en el draft de los Cleveland Browns de 1988, y cuál fue el equipo con el mayor número de drafts?",2,"NFL, Cleveland Browns",False,1.143884892086331,es,0.9776241779327393,0.978847861289978,0.9783583879470825,semantic_back_pass,
"Which province yields the highest product when the 2004 population estimate is multiplied by its density, and what is this product?","¿Qué provincia produce el mayor producto cuando la estimación de población de 2004 se multiplica por su densidad, y qué es este producto?",0,,False,1.0458015267175573,es,0.9715021252632141,0.9623751640319824,0.9660259485244751,semantic_back_pass,
"Calculate the change in U.S. viewers for each episode compared to its immediate successor, excluding the last episode.","Calcule el cambio en los espectadores de EE.UU. para cada episodio en comparación con su sucesor inmediato, excluyendo el último episodio.",1,U.S.,False,1.1694915254237288,es,0.95820552110672,1.0,0.983282208442688,semantic_back_pass,
"Can you provide the count of races and the sum of wins for each unique combination of season, series, and team name?","¿Puedes proporcionar el número de carreras y la suma de victorias para cada combinación única de temporada, serie y nombre del equipo?",0,,False,1.1551724137931034,es,0.9433780312538147,0.9839861989021301,0.967742931842804,semantic_back_pass,
"For each religious group, find the highest population percentage, the lowest growth rate over the period 1991-2001, the overall average sex ratio, the highest literacy rate, if their work participation rate is 40.4%, the average sex ratio in rural areas, the average sex ratio in urban areas, and the average sex ratio among children?","¿Encuentra el porcentaje más alto de población, la tasa de crecimiento más baja en el período 1991-2001, la tasa de género promedio general, la tasa de alfabetización más alta, si su tasa de participación en el trabajo es del 40,4%, la tasa de género promedio en las zonas rurales, la tasa de género promedio en las zonas urbanas y la tasa de género promedio entre los niños?",0,,False,1.122754491017964,es,0.7819792628288269,0.786512553691864,0.7846992373466491,semantic_back_pass,
What is the average U.S. viewership and the highest U.S. viewership for each season episode number from 1 to 10?,¿Cuál es el promedio de espectadores de EE.UU. y el número de espectadores más alto de EE.UU. para cada temporada número de episodios de 1 a 10?,1,U.S.,False,1.2857142857142858,es,0.9549583196640015,0.994128942489624,0.978460693359375,semantic_back_pass,
Calculate the change in U.S. viewership for each season episode after the first one relative to the episode before it.,Calcule el cambio en la audiencia de Estados Unidos para cada episodio de la temporada después del primero en relación con el episodio anterior.,1,U.S.,False,1.2203389830508475,es,0.9452391266822815,0.9641024470329285,0.9565571188926697,semantic_back_pass,
What are the average and maximum U.S. viewership ratings for each series?,¿Cuáles son las calificaciones promedio y máximas de audiencia en Estados Unidos para cada serie?,1,U.S.,False,1.3287671232876712,es,0.8953694701194763,0.9413961172103882,0.9229854583740235,semantic_back_pass,
"What are the title, original air date, and U.S. viewers (in millions) for the highest-rated and lowest-rated episodes?","¿Cuál es el título, la fecha de emisión original y los espectadores estadounidenses (en millones) de los episodios más calificados y menos calificados?",1,U.S.,False,1.2796610169491525,es,0.8912257552146912,0.9667648077011108,0.936549186706543,semantic_back_pass,
"For each unique combination of season, series, and team name, what was the maximum number of wins and the minimum number of points?","Para cada combinación única de temporada, serie y nombre del equipo, ¿cuál fue el número máximo de victorias y el número mínimo de puntos?",0,,False,1.0534351145038168,es,0.9696578979492188,0.9994152188301086,0.9875122904777527,semantic_back_pass,
How many unique challenges did each winning candidate pass successfully?,¿Cuántos desafíos únicos ha superado con éxito cada candidato ganador?,0,,False,0.9722222222222222,es,0.9696900844573975,0.9685879349708557,0.9690287947654724,semantic_back_pass,
Find the average result for every film that received a nomination.,Encuentra el resultado promedio de cada película que recibió una nominación.,0,,False,1.1515151515151516,es,0.9635645151138306,0.963301956653595,0.9634069800376892,semantic_back_pass,
Which CFL team had the most players selected in the third round of the draft?,¿Qué equipo de la CFL tuvo más jugadores seleccionados en la tercera ronda del draft?,1,CFL,False,1.103896103896104,es,0.9529412388801575,0.9507567286491394,0.9516305327415466,semantic_back_pass,
"What are the pick numbers, CFL teams, players, positions, and colleges for the top eight picks in the 2006 CFL draft's fourth round?","¿Cuáles son los números de selección, equipos de la CFL, jugadores, posiciones y universidades para las ocho mejores selecciones en la cuarta ronda del draft de la CFL de 2006?",1,CFL,False,1.3333333333333333,es,0.9498655200004578,0.9899217486381531,0.9738992571830749,semantic_back_pass,
"Which teams selected players in the first, second, and third highest draft picks of round five?","¿Qué equipos seleccionaron jugadores en la primera, segunda y tercera selección más alta del quinto round?",0,,False,1.1157894736842104,es,0.9079660773277283,0.9404399394989014,0.9274503946304322,semantic_back_pass,
"What is the count of railbuses for each unique combination of builder and region, and what is the sum of the number of railbuses built?","¿Cuál es el número de autobuses ferroviarios para cada combinación única de constructor y región, y cuál es la suma del número de autobuses ferroviarios construidos?",0,,False,1.2222222222222223,es,0.9182834029197693,0.9300245046615601,0.9253280639648438,semantic_back_pass,
"Could you provide me with the top five sport leagues ranked by total attendance, including their league name, sport type, country, season, and total number of attendees?","¿Podría proporcionarme las cinco mejores ligas deportivas clasificadas por asistencia total, incluyendo su nombre de liga, tipo de deporte, país, temporada y número total de asistentes?",0,,False,1.0946745562130178,es,0.9189903736114502,0.9921256899833679,0.9628715634346008,semantic_back_pass,
Determine the model with the greatest frequency and provide its count.,Determine el modelo con la mayor frecuencia y proporcione su número.,0,,False,0.9714285714285714,es,0.9272057414054871,0.7377658486366272,0.8135418057441712,semantic_back_pass,
Please list the titles of the episodes and their associated average and maximum U.S. viewership figures.,"Por favor, enumere los títulos de los episodios y sus cifras de audiencia media y máxima asociadas en Estados Unidos.",1,U.S.,False,1.125,es,0.9011433124542236,0.9460790753364563,0.9281047701835632,semantic_back_pass,
What are the orbital periods and radial velocities of the planets that can be detected by second-generation spectrographs?,¿Cuáles son los períodos orbitales y las velocidades radiales de los planetas que pueden ser detectados por espectrógrafos de segunda generación?,0,,False,1.1885245901639345,es,0.9536504149436951,0.9999998807907104,0.9814600944519043,semantic_back_pass,
"What premiere date, peak rating, average rating, and Hong Kong viewership did the drama series with the highest viewership have?","¿Qué fecha de estreno, calificación máxima, calificación media y audiencia de Hong Kong tuvo la serie dramática con mayor audiencia?",1,Hong Kong,False,1.03125,es,0.8944020867347717,0.9688796997070312,0.9390886545181275,semantic_back_pass,
"Which director led the way in directing the most episodes during season 2 of Melrose Place, and what was the total number of episodes they directed?","¿Qué director dirigió el camino en la dirección de la mayoría de episodios durante la temporada 2 de Melrose Place (serie de televisión de 1992), y cuál fue el número total de episodios que dirigieron?",1,Melrose Place,False,1.3581081081081081,es,0.9490340352058411,0.9701719284057617,0.9617167711257935,semantic_back_pass,
What is the count of each production code used in the entire series of episodes?,¿Cuál es el número de cada código de producción utilizado en toda la serie de episodios?,0,,False,1.1,es,0.9791109561920166,0.8942402601242065,0.9281885385513305,semantic_back_pass,
"Which episode has the highest count in season 4, from episodes 1 to 28, when sorted in descending order of frequency?","¿Qué episodio tiene el mayor número de episodios en la temporada 4, de los episodios 1 a 28, ordenados en orden descendente de frecuencia?",0,,False,1.1794871794871795,es,0.9378902912139893,0.9612187743186951,0.9518873810768127,semantic_back_pass,
Which player had the most appearances when grouped by their college and ordered by the count of appearances in descending order?,¿Qué jugador tuvo más apariciones cuando se agrupó por su colegio y ordenado por el recuento de apariciones en orden decreciente?,0,,False,1.0078125,es,0.7918922305107117,0.9222187399864197,0.8700881361961365,semantic_back_pass,
What is the total number of players from each college who were picked between pick number 45 and 52?,¿Cuál es el número total de jugadores de cada colegio que fueron elegidos entre la selección número 45 y 52?,0,,False,1.08,es,0.9013741612434387,0.8841859698295593,0.8910612463951111,semantic_back_pass,
"For each round, find the total number of choices, the average weight of quarterbacks, and the maximum height of wide receivers across rounds.","Para cada ronda, encuentra el número total de opciones, el peso promedio de los mariscales y la altura máxima de los receptores amplios en todas las rondas.",0,,False,1.1063829787234043,es,0.7272153496742249,0.9775762557983398,0.8774318933486938,semantic_back_pass,
"Which college did the most players selected between the 27th and 34th positions attend, and how many players were there?","¿A qué colegio asistieron los más jugadores seleccionados entre las posiciones 27 y 34, y cuántos jugadores había?",0,,False,0.95,es,0.9117628335952759,0.9080468416213989,0.9095332384109497,semantic_back_pass,
"What are the titles, release dates, and Oricon ranks for the top three singles by Yuki Uchida?","¿Cuáles son los títulos, fechas de lanzamiento y los rankings de Oricon para los tres primeros singles de Yūki Uchida?",2,"Oricon, Yuki Uchida",False,1.2553191489361701,es,0.9296801686286926,0.9422321915626526,0.9372113823890685,semantic_back_pass,
List the location and the maximum opening hour for each day from Monday to Sunday.,Enumera el lugar y la hora máxima de apertura de cada día del lunes al domingo.,0,,False,0.9634146341463414,es,0.9140430092811584,0.9745810627937317,0.9503658413887024,semantic_back_pass,
"For each district listed, could you provide the area in square kilometers, the number of settlements, and the half of the population from the 2010 census?","¿Podría indicar el área en kilómetros cuadrados, el número de asentamientos y la mitad de la población del censo de 2010?",0,,False,0.7857142857142857,es,0.8708503246307373,0.8710374236106873,0.8709625840187072,semantic_back_pass,
Determine the director with the maximum number of episodes directed and give the episode count.,Determine al director con el número máximo de episodios dirigidos y dé el número de episodios.,0,,False,0.9894736842105263,es,0.9664162397384644,0.9815196394920349,0.9754782795906067,semantic_back_pass,
"Please give me the pilot car numbers, colors, and the total number of productions grouped by each unique combination of pilot car number and color.","Por favor, dame los números del coche piloto, colores y el número total de producciones agrupadas por cada combinación única de número y color del coche piloto.",0,,False,1.08843537414966,es,0.9403887987136841,0.9993166327476501,0.9757454991340637,semantic_back_pass,
"What were the start and end dates of the interregnum, how many days did each interregnum last, and the names of the counts palatine of saxony and rhine for each listed period?","¿Cuáles fueron las fechas de inicio y fin del interregno, cuántos días duró cada interregno, y los nombres de los condes palatinos de sajonía y reno para cada período enumerado?",0,,False,1.0114285714285713,es,0.8588070273399353,0.9374781847000122,0.9060097217559815,semantic_back_pass,
"What are the show titles, their average U.S. viewership, and the total number of episodes for March, April, or May airings?","¿Cuáles son los títulos de la serie, su promedio de espectadores en Estados Unidos y el número total de episodios de marzo, abril o mayo?",1,U.S.,False,1.113821138211382,es,0.9548010230064392,0.9341793656349182,0.9424280285835267,semantic_back_pass,
"What are the titles of episodes along with their counts and average U.S. viewers per episode, sorted by the average number of viewers in descending order?","¿Cuáles son los títulos de los episodios junto con su recuento y el promedio de espectadores estadounidenses por episodio, ordenados por el número promedio de espectadores en orden decreciente?",1,U.S.,False,1.2532467532467533,es,0.924038827419281,0.9668302536010742,0.949713683128357,semantic_back_pass,
"Calculate the cumulative sum of league goals Tony Currie scored in each season where he had at least one league appearance, disregarding seasons without league appearances.","Calcule la suma acumulada de goles de la liga que Tony Currie anotó en cada temporada en la que tuvo al menos una aparición en la liga, sin tener en cuenta las temporadas sin apariciones en la liga.",1,Tony Currie,False,1.1511627906976745,es,0.9428625702857971,0.962853193283081,0.9548569440841674,semantic_back_pass,
"Which cities hosted regional auditions for American Idol, and what is the average count of Golden Tickets issued during their respective callback periods?","¿Qué ciudades organizaron audiciones regionales para American Idol, y cuál es el promedio de boletos de oro emitidos durante sus respectivos períodos de devolución?",2,"American Idol, Golden Tickets",False,1.0649350649350648,es,0.9453665018081665,0.9446356892585754,0.9449280142784118,semantic_back_pass,
"List the city of license/market, station name, channel TV (DT), year of affiliation, and owned since date for stations that start with KFS, KF, or KFT?","Enumera la ciudad de licencia/mercado, nombre de la estación, canal de televisión (DT), año de afiliación y propiedad desde la fecha para las estaciones que comienzan con KFS, KF o KFT.",3,"KFS, KF, KFT",False,1.2251655629139073,es,0.851491391658783,0.9376510381698608,0.9031871795654297,semantic_back_pass,
"What is the season when the team that won the MLS Cup also had the highest total points, and the team that came in last in the MLS Cup also had the lowest total points?","¿Cuál es la temporada en que el equipo que ganó la Copa MLS también tuvo los puntos totales más altos, y el equipo que llegó último en la Copa MLS también tuvo los puntos totales más bajos?",1,MLS Cup,False,1.125,es,0.970893144607544,0.9619904160499573,0.9655515074729919,semantic_back_pass,
