nl,sql,predicted_ambiguity
"
    What institutions, their locations, men's nicknames, women's nicknames, founding years, types, and enrollments are ranked between 2nd and 7th based on their founding years?
    ","SELECT `Institution`, `Location`, `Mens Nickname`, `Womens Nickname`, `Founded`, `Type`, `Enrollment`, `Joined`
    FROM (
        SELECT *, ROW_NUMBER() OVER(ORDER BY `Founded`) AS rn
        FROM (
            SELECT `Institution`, `Location`, `Mens Nickname`, `Womens Nickname`, `Founded`, `Type`, `Enrollment`, `Joined`
            FROM `table_1_10577579_2`
        ) AS t
    )
    WHERE rn BETWEEN 2 AND 7;",8.078849792480469
"
    Which institutions left after 1990 but joined before 2000?
    ","SELECT `Institution`, `Enrollment`, `Joined`, `Left`, `Current Conference`
    FROM `table_1_10577579_3`
    WHERE `Joined` < '2000' AND `Left` > '1990';",0.248994380235672
"
What institutions have been founded after 1923 and an enrollment between 1000 and 2000?
","SELECT `Institution`, `Nickname`, `Location`, `Enrollment`
FROM `table_1_10581768_2`
WHERE `Founded` > 1923 AND `Enrollment` BETWEEN 1000 AND 2000;",0.09605106711387634
"
Which member associations have an average points higher than the overall average?
","SELECT `Member Association`, AVG(`Points`) AS AveragePoints
    FROM `table_1_1059743_1`
    GROUP BY `Member Association`
    HAVING AVG(`Points`) > (SELECT AVG(`Points`) FROM `table_1_1059743_1`);",1.4477367401123047
"
What are the total number of areas affected and the sum of damage in USD for each affected area?
","SELECT `Areas affected`, COUNT(*), SUM(`Damage (USD)`)
FROM `table_1_10602294_1`
WHERE `Areas affected` IS NOT NULL
GROUP BY `Areas affected`",0.0
 tags,"SELECT T1.`Title`, T1.`Original air date`
FROM `table_1_10610087_3` AS T1",0.1005311906337738
"
    What is the total number of matches played by the player who scored at least ten 100s?
    ","SELECT `Player`, SUM(`Matches`) AS Total_Matches, AVG(`Average`) AS Average_After_Ten, MAX(`100`) AS Highest_Score_Before_Fifty 
FROM table_1_10621256_1 
WHERE `100` > 0 
GROUP BY `Player` 
ORDER BY Average_After_Ten DESC;",0.019656497985124588
" What are the maximum release dates for each DVD, along with their total number of episodes?","SELECT `DVD Name`, `# of Ep`, MAX(`Region 1`), MIN(`Region 2`), MAX(`Region 4`)
    FROM `table_1_1067134_1`
    GROUP BY `DVD Name`
    ORDER BY `# of Ep` DESC;",0.0
"
    What are the provinces ranked by their highest population density along with their GDP per capita in 2003 and the GDP per capita relative to their 2004 population estimate?
    ","SELECT `Province`, `Population (2004 estimate)` AS Population_2004, `Density` AS Density_2004, `GDP (2003, PPS in mil. € )` / `Population (2004 estimate)` AS GDP_Per_Population_2004 FROM table_1_1067441_1 ORDER BY `Density` DESC;",0.16690194606781006
"
    What was the highest number of wins and average points scored by each season, series, and team name combination?
    ","SELECT `Season`, `Series`, `Team Name`, `Races`, MAX(`Wins`) AS MaxWins, AVG(`Points`) AS AvgPoints
    FROM `table_1_10705060_1`
    GROUP BY `Season`, `Series`, `Team Name`
    ORDER BY `MaxWins` DESC, `AvgPoints` DESC
    LIMIT 1;",0.7091509103775024
" Here, we want a natural language question that corresponds to the given SQLite query.
    ```
    What is the total sex ratio for each religious group listed?
    ```","SELECT 
         `Religious group`, 
         `Sex ratio (total)` AS total
     FROM 
         table_1_10710364_2;",0.05883767083287239
" What are the counts of unique hosts, shows without pre-race analysts, shows without lap-by-lap analysts, and shows without color commentators grouped by year and network?","SELECT `Year`, `Network`, COUNT(DISTINCT `Host`) AS UniqueHosts, 
           SUM(CASE WHEN `Pre-race analyst` = 'N/A' THEN 1 ELSE 0 END) AS NoPreRaceAnalyst, 
           SUM(CASE WHEN `Lap-by-lap` = 'N/A' THEN 1 ELSE 0 END) AS NoLapByLap, 
           SUM(CASE WHEN `Color commentator(s)` = 'N/A' THEN 1 ELSE 0 END) AS NoColorCommentator
    FROM `table_1_10716893_3`
    GROUP BY `Year`, `Network`;",2.514650344848633
"```What are the titles, original air dates, and highest U.S. viewership numbers for each episode?```","SELECT T1.`Title`, T1.`Original air date`, T1.`U.S. viewers (millions)`
    FROM `table_1_10718192_2` AS T1
    INNER JOIN (
        SELECT `Title`, MAX(`U.S. viewers (millions)`) AS max_viewers
        FROM `table_1_10718192_2`
        GROUP BY `Title`
    ) AS T2
    ON T1.`Title` = T2.`Title` AND T1.`U.S. viewers (millions)` = T2.max_viewers;",4.482447624206543
"
What episode had the highest number of U.S. viewers and on which date did it air?
","SELECT T1.`Title`, T1.`Original air date`
FROM `table_1_10718525_2` AS T1
WHERE T1.`U.S. viewers (millions)` = (
    SELECT MAX(`U.S. viewers (millions)`) 
    FROM `table_1_10718525_2` AS T1
)",0.08639305830001831
"
    Who directed the episode with the most appearances according to this data?","SELECT `Directed by`, COUNT(*) AS Episode_Count
    FROM `table_1_10718631_2`
    GROUP BY `Directed by`
    ORDER BY Episode_Count DESC
    LIMIT 1;",0.004420120269060135
"
What are the race details for all races except the non-sanctioned race?
","SELECT `Rnd`, `Race Name`, `Circuit`, `City/Location`, `Date`, `Pole position`, `Fastest lap`, `Winning driver`, `Winning team`, `Report`
FROM `table_1_10725629_2`
WHERE `Rnd` IN (
    SELECT `Rnd`
    FROM `table_1_10725629_2`
    GROUP BY `Rnd`
) AND `Rnd`!= 'NC' AND `Rnd`!= ''",3.4462790489196777
"
    Which seasons did Marcus Ericsson win races and how many podiums did he achieve in 2007, 2009, 2010, and 2011?
    ","SELECT `Season`, `Series`, `Team Name`, `Wins`, `Podiums`
    FROM table_1_10748727_1
    WHERE `Season` IN ('2007', '2009', '2010', '2011')
    ORDER BY `Season` DESC;",0.20872712135314941
:,"SELECT `Title`, AVG(`U.S. viewers (millions)`), MIN(`Production code`)
    FROM `table_1_10749143_2`
    GROUP BY `Title`
    ORDER BY AVG(`U.S. viewers (millions)`) DESC;",0.06214894726872444
:,"SELECT 
        `Village (German)`, 
        `Village (Slovenian)`, 
        SUM(`Number of people 1991`) AS Total_People_1991, 
        MAX(`Percent of Slovenes 1991`) AS Highest_Percent_Slovenes_1991, 
        MIN(`Percent of Slovenes 1951`) AS Lowest_Percent_Slovenes_1951
    FROM 
        table_1_10797463_1
    GROUP BY 
        `Village (German)`
    ORDER BY 
        Total_People_1991 DESC;",1.2568819522857666
"
What was the attendance and record for the game where the Raptors lost to Chicago?
","SELECT `Date`, `Team`, `Score`, `High points`, `High rebounds`, `High assists`, `Location Attendance`, `Record`
FROM (
    SELECT `Date`, `Team`, `Score`, `High points` AS `High points`, `High rebounds` AS `High rebounds`, `High assists` AS `High assists`, `Location Attendance`, `Record`
    FROM `table_1_10812293_4`
    WHERE `Record` LIKE '%–17%'
) AS FinalQuery
WHERE `Record` = '13–17'",9.98685359954834
"
    What is the count of players from each college who were picked 20th or later?
    ","SELECT `Player`, `College`, COUNT(*) AS DraftCount
    FROM `table_1_10812938_3`
    WHERE `Pick #` >= 20
    GROUP BY `Player`, `College`
    ORDER BY DraftCount DESC;",0.0
"
    Which teams picked between picks 26 and 33, and how many times did each pick?
    ","SELECT `CFL Team`, COUNT(*) 
    FROM (
        SELECT `CFL Team`
        FROM `table_1_10812938_4`
        WHERE `Pick #` BETWEEN 26 AND 33
    ) AS Rounds
    GROUP BY `CFL Team`;",0.08962108194828033
"
    What players were selected in rounds five through seven?
    ","SELECT `Pick #`, `CFL Team`, `Player`, `Position`, `College`
    FROM `table_1_10812938_5`
    WHERE `Pick #` IN (35, 36, 37, 38, 39, 40, 41)
    ORDER BY `Pick #`;",0.3111003637313843
"```What are the top 5 leagues, their respective sports, countries, seasons, and total attendances?```","SELECT `League`, `Sport`, `Country`, `Season`, `Total attendance`
    FROM (
        SELECT `League`, `Sport`, `Country`, `Season`, `Total attendance`,
               ROW_NUMBER() OVER (ORDER BY `Total attendance` DESC) AS rank
        FROM table_1_10815352_1
    )
    WHERE rank <= 5;",3.836740255355835
"
    What are the models along with their counts of unique processor frequencies?
    ","SELECT `Model`, COUNT(*) AS Processor_Count
    FROM (
        SELECT `Model`, SUBSTR(`Processor frequency`, INSTR(`Processor frequency`, 'GHz') + 4, LENGTH(`Processor frequency`)) AS `Processor_frequency`
        FROM `table_1_10818465_1`
    ) AS Subquery
    GROUP BY `Model`
    ORDER BY Processor_Count DESC;",0.5871233940124512
:What is the name of the director who has the most episodes directed?,"SELECT `Directed by`, COUNT(*) AS Episode_Count
    FROM `table_1_10842344_1`
    GROUP BY `Directed by`
    ORDER BY Episode_Count DESC;",0.0008580721914768219
"
What were the division, league, regular season result, playoffs, and average attendance for teams that finished in 6th place in their regular season?
","SELECT `Year`, `Division`, `League`, `Reg. Season`, `Playoffs`, AVG(`Avg. Attendance`) 
FROM `table_1_1087659_2` 
WHERE `Reg. Season` = '6th'
GROUP BY `Year`;",0.11026501655578613
"
    What are the average population per capita, the highest production, the lowest export, the total CO2 emissions, and the total emissions for each electricity level, sorted by total emissions in descending order?
    ","SELECT 
        `Electricity`, 
        AVG(`Capita`) AS Average_Capita,
        MAX(`Production`) AS Highest_Production,
        MIN(`Export`) AS Lowest_Export,
        SUM(`CO 2 -emission`) AS Total_Emissions
    FROM 
        `table_1_10921309_1`
    GROUP BY 
        `Electricity`
    ORDER BY 
        `Total_Emissions` DESC;",0.3447999656200409
"
    What is the viewing drop for each episode after the first season episode?
    ","SELECT `Title`, `U.S. viewers (millions)` - LAG(`U.S. viewers (millions)`) OVER (ORDER BY `No. in season`) AS `Viewing Drop`
    FROM `table_1_10935548_1`
    WHERE `No. in season` > 1;",0.008647453039884567
nan,"SELECT `English title`, `Premiere`, `Finale`
FROM (
    SELECT `English title`, `Premiere`, `Finale`, 
           COUNT(*) OVER () AS total_series, 
           AVG(`Average`) AS avg_viewership, 
           RANK() OVER (ORDER BY AVG(`Average`) DESC) AS rank
    FROM `table_1_10942714_1`
) subquery
WHERE rank = 1 AND `Premiere` < `Finale`
ORDER BY `Premiere` ASC;",3.719197988510132
 question_1,"SELECT `Director`, COUNT(*) AS EpisodeCount
    FROM table_1_10953197_2
    WHERE `No. in season` BETWEEN 1 AND 31
    GROUP BY `Director`
    ORDER BY EpisodeCount DESC
    LIMIT 1;",0.05005347356200218
"
    What production code has the most episodes according to the given data?
    ","SELECT `Production code`, COUNT(*) AS Episode_Count
    FROM table_1_10953197_6
    GROUP BY `Production code`
    ORDER BY Episode_Count DESC
    LIMIT 1;",0.0375889353454113
"
    What players have multiple colleges represented among the CFL teams they were picked by, or are uniquely picked by their CFL team?
    ","SELECT `Pick #`, `CFL Team`, `Player`, `Position`, `College`
    FROM `table_1_10960039_1`
    WHERE `College` IN (
        SELECT `College`
        FROM `table_1_10960039_1`
        GROUP BY `College`
        HAVING COUNT(`College`) > 1
    )
    UNION ALL
    SELECT MAX(`Pick #`), `CFL Team`, `Player`, `Position`, `College`
    FROM `table_1_10960039_1`
    GROUP BY `CFL Team`, `Player`, `Position`, `College`
    HAVING COUNT(`Pick #`) = 1
    ORDER BY `Pick #`;",5.86957311630249
"
    In which rounds are there more than 3 choices and an average weight under 220?
","SELECT `Round`, SUM(`Choice`) AS TotalChoices, AVG(`Weight`) AS AverageWeight
    FROM `table_1_10966926_2`
    GROUP BY `Round`
    HAVING TotalChoices > 3 AND AverageWeight < 220;",0.08525161445140839
"
What is the pick number, team, player name, position, and college for the first pick of each CFL team?
","SELECT `Pick #`, `CFL Team`, `Player`, `Position`, `College`
    FROM (
        SELECT *,
               ROW_NUMBER() OVER (ORDER BY `Pick #`) AS rn
        FROM (
            SELECT `Pick #`, `CFL Team`, `Player`, `Position`, `College`
            FROM `table_1_10975034_4`
        ) t
    )
    WHERE rn IN (
        SELECT rn
        FROM (
            SELECT *,
                   ROW_NUMBER() OVER (PARTITION BY `CFL Team` ORDER BY `Pick #`)
            FROM (
                SELECT `Pick #`, `CFL Team`, `Player`, `Position`, `College`
                FROM `table_1_10975034_4`
            ) t
        )
        WHERE rn = 1
    );",9.80663776397705
"
    What college had the most players selected in Round Five of the 2004 CFL Draft?
    ","SELECT `College`, COUNT(*) AS PlayerCount
    FROM `table_1_10975034_5`
    GROUP BY `College`
    ORDER BY PlayerCount DESC
    LIMIT 1;",0.05475739762187004
"
    What albums have a high Oricon ranking and titles containing ""no""?
    ","SELECT T1.`Romaji title`, T1.`Japanese title`, T1.`Release date`, T1.`Oricon`
    FROM `table_1_10979230_4` AS T1
    WHERE T1.`Oricon` IN (
        SELECT MAX(T2.`Oricon`)
        FROM `table_1_10979230_4` AS T2
        GROUP BY T2.`Romaji title`
    ) AND T1.`Romaji title` LIKE '%no%';",0.8509795069694519
"
What is the Saturday and Sunday opening times for each location?","SELECT `Location`, 
       MAX(CASE WHEN strftime('%A', `Monday`) = 'Saturday' THEN `Monday` END) AS `SaturdayOpening`,
       MAX(CASE WHEN strftime('%A', `Tuesday`) = 'Saturday' THEN `Tuesday` END) AS `SundayOpening`
FROM table_1_11019212_1
GROUP BY `Location`;",3.1722681522369385
